id,trigger,conditions,script,text,options,notes
uafkeycard_turnInOptionSelGeneric,DialogOptionSelected,$option == UAFKeycard_startTurnIn,FireAll PopulateUAFKeycardTurnInOptions,"""A fascinating offer. Why, if one of the major factions caught you with these, they might just seize them outright. Tell you what - I'll do you a favour and give you a good price.""",,
uafkeycard_playerHasOption,PopulateUAFKeycardTurnInOptions,,,,0:UAFKeycard_selectKeys:Select Keycard to turn in,
uafkeycard_turnInOptionSelected,DialogOptionSelected,$option == UAFKeycard_selectKeys,UAFKeycard selectKeys,,,
uafkeycard_turnInResponseDefault,UAFKeycardTurnedIn,,FireAll PopulateOptions,$PersonRank $personLastName thanks you and the conversation moves on to other matters.,,
uafkeycard_neverMindOption,PopulateUAFKeycardTurnInOptions,,,,"100:UAFKeycard_neverMind:""Never mind, I don't actually have any.""",
uafkeycard_neverMindOptionSelected,DialogOptionSelected,$option == UAFKeycard_neverMind,FireAll PopulateOptions,,,
,,,,,,
"#The start of vnsector, lets go!",,,,,,
#Kitten Business,,,,,,
UAFNiaFirstGreeting,PickGreeting,"$id == uaf_niaauroria score:100
!$player.metUAFNiaAuroria","ShowPersonVisual
FireAll PopulateOptions
$player.metUAFNiaAuroria = true
AddText ""You see many people from numerous worlds seems to be queueing in front of you, took the ticket and wait in the queue bench. Looking up there is a large sign laced with neon lights underneath with a text saying \""Aurora Diplomatic Bureau\"".""

AddText ""Not long after, your number got called, you walk over to the counter and open the communication device that is now available to you""

AddText """"\""Bzzt!!""\"""" highlight

AddText ""A woman with a tied up white hair can now be seen appearing in your monitor, wearing a dark officer uniform with badges that appear quite high in rank on her shawl. A small text also appeared on the down-left side of your screen, identifying the person as Nia Auroria, the Administrator of this station as well as the current Head of The Bureau.""

AddText ""\""Well, you may speak your business now, if not then I'll have something else to do.\"" the woman speaks in a strict manner, only slightly staring at you.""",,0:cutCommLinkPolite:Cut the comm link,
UAFPlayerSawKitten,PopulateOptions,"$id == uaf_niaauroria score:100
!$player.sawNiaKittenAlready
UAFHasTag uaf_hasKitten
!$hasAsked","$player.sawNiaKittenAlready = true
$hasAsked = true 1",,"10:UAFKittenAsk:""Is that what I think it is?!""",
UAFPlayerSawKittenAgain,PopulateOptions,"$id == uaf_niaauroria score:100
$player.sawNiaKittenAlready
UAFHasTag uaf_hasKitten
!$hasAsked",$hasAsked = true 1,,"10:UAFKittenAskAgain:""I can see her being adventurous again..""",
UAFNiaAskedAboutKitten,DialogOptionSelected,$option == UAFKittenAsk,"AddText ""\""Oh my! Inna, stop being so adventurous will you?!\""""
AddTextSmall ""\""Nya!!\"""" highlight

AddText ""Reputation Increased with Administrator""

AdjustRepActivePerson NEUTRAL 1
FireAll PopulateOptions",,,
UAFNiaAskedAboutKittenAgain,DialogOptionSelected,$option == UAFKittenAskAgain,"AddText ""\""Yeah, inna is always adventurous after she eats.\"" the woman chuckles.""
AddTextSmall ""\""Nya!\"""" highlight

AddText ""Reputation Increased with Administrator""

AdjustRepActivePerson NEUTRAL 1
FireAll PopulateOptions",,,
,,,,,,
UAFDefaultNiaGreeting,PickGreeting,"$id == uaf_niaauroria
$player.metUAFNiaAuroria
UAFRelationCheck -1 51","ShowPersonVisual
FireAll PopulateOptions
SetShortcut cutCommLinkPolite ""ESCAPE""
SetTextHighlights ""Nya!""","""Well, speak."" The woman with a tied-up white hair appears shortly after you insert your queue ticket. She seems disinterested with you, better talk quickly.
OR
The woman with tied-up white hair appears after a brief static, she appears to be busy with documents can be seen piling behind her, maybe you should speak.
OR
The woman with tied-up white hair appears after a brief static. There are piles of documents seen behind her, but for some reason, one of the pile falls over to topple the other document piles.

""Ahhh!!! Inna!!!""
""Nya!""",0:cutCommLinkPolite:Cut the comm link,
UAFDefaultNiaGreetingFriendly,PickGreeting,"$id == uaf_niaauroria
$player.metUAFNiaAuroria
UAFRelationCheck 50 76","ShowPersonVisual
FireAll PopulateOptions
SetShortcut cutCommLinkPolite ""ESCAPE""","""Speak."" The woman with a tied-up white hair says in strict manner, appearing to not looking at the monitor.

""Hmm? oh its you again $playerName . Well, what do you need?"" She stares at you, having gotten the administrator attention, you better speak quickly.
OR
You wait for a moment after you insert your queue ticket.

""Hello $playerName, what brings you to the bureau today? hope its not a problem."" The woman with tied-up hair asks in a welcoming tone.",0:cutCommLinkPolite:Cut the comm link,
UAFDefaultNiaGreetingCooperative,PickGreeting,"$id == uaf_niaauroria
$player.metUAFNiaAuroria
UAFRelationCheck 75 101","ShowPersonVisual
FireAll PopulateOptions
SetShortcut cutCommLinkPolite ""ESCAPE""","You wait for a moment after you submitted the queue ticket, a brief static appears in the monitor as it forms the image.

""Ah, hello $playerName, what can I do for you? today's been really busy for me, there are forms and taxes that people need to fill, and also commercial papers that needs followup, my division been contacting them but they are barely answering, so frustrating right?! ugh! I really want to relax a bit but this station needs more approval and overseeing as it is still growing, there is also this merchant that has been screwing things up near the dock, like who bring their Lava-pet around?! it absolutely melts the railing and now we need to have engineer to repair that thing! -""

The woman with a white tied-up hair seems to be chatty today as she keep talking about stuffs around the station, you better state your intention before the queue line getting too long behind you.
OR
""Oh, $playerName, can you wait for a bit, I am feeding Inna right now, I'll come back to you soon"" The woman with a tied-up hair seen to be leaving her desk, and momentarily you can see a pair of cat ears perked up on the screen. 

Not long after, the Administrator back and move the kitten off from the desk, giving her the food before paying attention to you
""Well, sorry for the delay, what do you need?""",0:cutCommLinkPolite:Cut the comm link,
,,,,,,
UAFDefaultNiaShutOff,PickGreeting,"$id == uaf_niaauroria score:105
$entity.isHostile",,"Your queue ticket to direct line with administrator was rejected.
OR
Securities came into the Bureau and removed you from the premise.",,
,,,,,,
#Commissions,,,,,,
UAFNiaAskForCommissionOpt,PopulateOptions,"$id == uaf_niaauroria score:100
UAFRelationCheck 50 76
!Commission hasFactionCommission",,,"20:cmsn_askCommission:""I'd like to be commissioned by $theFaction""",
UAFNiaResignCommissionOpt,PopulateOptions,"$id == uaf_niaauroria score:100
Commission hasFactionCommission",,,"20:cmsn_resignCommission:""I'd like to resign my $faction commission""",
,,,,,,
UAFNiaOutrightRejectCommission,DialogOptionSelected,"$id == uaf_niaauroria
$option == cmsn_askCommission
$faction.isHostile score:100","SetEnabled cmsn_askCommission false
FireBest CMSNTextRejectHostile",,,
UAFNiaHasOtherCommission,DialogOptionSelected,"$id == uaf_niaauroria
$option == cmsn_askCommission
!$faction.isHostile
Commission hasOtherCommission","SetEnabled cmsn_askCommission false
FireBest CMSNTextHasOther",,,
UAFNiaCommissionNotMeetCriteria,DialogOptionSelected,"$id == uaf_niaauroria
$option == cmsn_askCommission
!Commission playerMeetsCriteria","SetEnabled cmsn_askCommission false
FireBest CMSNTextUnsuited
Commission printRequirements",,,
UAFNiaCommissionMeetCriteria,DialogOptionSelected,"$id == uaf_niaauroria
$option == cmsn_askCommission
Commission playerMeetsCriteria",FireBest CMSNTextSuitedPart1,,0:cmsn_continueMeetsReq:Continue,
UAFNiaCommissionMeetCriteria2,DialogOptionSelected,"$id == uaf_niaauroria
$option == cmsn_continueMeetsReq","Commission printInfo
FireBest CMSNTextSuitedPart2",,"0:cmsn_accept:Accept $factionAOrAn $faction commission
1:cmsn_cancel:""Perhaps I'm not quite ready for this.""",
UAFNiaCommissionAccepted,DialogOptionSelected,"$id == uaf_niaauroria
$option == cmsn_accept","FireBest CMSNTextWelcomePart1
Commission accept
FireBest CMSNTextWelcomePart2
FireAll PopulateOptions",,,
UAFNiaCommissionCanceled,DialogOptionSelected,"$id == uaf_niaauroria
$option == cmsn_cancel","FireBest CMSNTextChangeMind
FireAll PopulateOptions",,,
UAFNiaCommissionResignOptions,DialogOptionSelected,"$id == uaf_niaauroria
$option == cmsn_resignCommission",FireBest CMSNResignAskToConfirm,,"0:cmsn_resignConfirm:""Yes, I'm sure.""
1:cmsn_resignCancel:""Never mind, I've reconsidered.""",
UAFNiaCommissionResignAccept,DialogOptionSelected,"$id == uaf_niaauroria
$option == cmsn_resignConfirm","FireBest CMSNResignConfirmed
Commission resign
FireAll PopulateOptions",,,
UAFNiaCommissionResignCancel,DialogOptionSelected,"$id == uaf_niaauroria
$option == cmsn_resignCancel","FireBest CMSNResignCancelled
FireAll PopulateOptions",,,
,,,,,,
CMSNTextRejectHostile_default,CMSNTextRejectHostile,,,"""Is this some kind of joke? If you are who you say you are, you're on several $faction wanted lists.""",,
CMSNTextHasOther_default,CMSNTextHasOther,,,"""You're already commissioned by $theOtherCommissionFaction. You'll have to resign that commission before you can be commissioned by $theFaction.""",,
CMSNTextUnsuited_default,CMSNTextUnsuited,,,"""I'm sorry, but you don't meet our criteria for receiving a commission.""",,
CMSNTextSuitedPart1_default,CMSNTextSuitedPart1,,,"""Hmm, yes, you're a suitable candidate.

Accepting a commission is a serious matter. You will be required to fight enemies of $theFaction, wherever they may be found.

You'll be able to resign your commission at any time, though I don't imagine doing so would win you any friends.""",,
CMSNTextSuitedPart2_default,CMSNTextSuitedPart2,,,"""So, how about it? Still want to sign on?""",,
CMSNTextWelcomePart1_default,CMSNTextWelcomePart1,,,"""Excellent! Welcome to the service.""",,
CMSNTextWelcomePart2_default,CMSNTextWelcomePart2,,,"""Anything else I can do for you?""",,
CMSNTextChangeMind_default,CMSNTextChangeMind,,,"""Yes, not everyone has it in them to uphold the values of $theFaction to such a high standard. No shame in it.

Anything else I can do for you?""",,
CMSNResignAskToConfirm_default,CMSNResignAskToConfirm,,,"""Are you sure? $TheFaction needs people it can rely on, and turning your back like this won't be easily forgotten.""",,
CMSNResignConfirmed_default,CMSNResignConfirmed,,,"""I can see there's no changing your mind. Well, at least you had the courtesy to tender your resignation in person.""",,
CMSNResignCancelled_default,CMSNResignCancelled,,,"""A good decision. We can use people like you.""",,
,,,,,,
#Missions,,,,,,
UAFNiaNoMissions,ContactPreMissionListText,"$id == uaf_niaauroria score:100
$mh_count <= 0",,,,
UAFNiaNoMissionsSuspend,ContactPreMissionListText,"$id == uaf_niaauroria score:100
$mh_count <= 0
$mHub_contactSuspended",,,,
UAFNiaOneMission,ContactPreMissionListText,"$id == uaf_niaauroria score:100
$mh_count == 1
$mh_firstInlineBlurb != null",$mh_doNotPrintBlurbs = true 0,,,
UAFNiaMultipleMission,MHPostMissionListText,"$id == uaf_niaauroria score:100
$mh_count > 1",,,,
UAFNiaContactPrintAcceptText,ContactPrintAcceptText,$id == eisava score:100,,,,
,,,,,,
#VNSector Stuffs,,,,,,
,,,,,,
