id,type,text1,text2,text3,notes
uaf_m_nakiha,SHIP,"This ship is the militarized version of the standard nakiha, serving the same role as the standard nakiha with improved survivability and new reactor engine issued by the research and department.",,,
,,,,,
uaf_m_perwira,SHIP,,,,
,,,,,
uaf_reisen,SHIP,"The main capital ship issued by the UAF Military, the ship has a good firepower capability as well as point defense mounts.",,,
uaf_m_reisen,SHIP,"The main capital ship issued by the UAF Military, the ship has a good firepower capability as well as point defense mounts. This version is installed with upgraded military subsystem, new reactor engine, and improved hull integrity, allowing repairs on the ship hulls.",,,
,,,,,
uaf_exoria,SHIP,"The backbone carrier issued by the UAF Military, the carrier is designed to be mass produced while still having decent fighter support.",,,
uaf_m_exoria,SHIP,"The backbone carrier issued by the UAF Military, the carrier is designed to be mass produced while still having decent fighter support. This version may be installed with upgraded military subsystems, new reactor engine, and improved hull integrity, allowing for the ship hull to repair.",,,
,,,,,
uaf_minoria,SHIP,,,,
uaf_m_minoria,SHIP,,,,
,,,,,
uaf_ai_neuxoria,SHIP,,,,
,,,,,
uaf_m_nebula_bravo,SHIP,,,,
uaf_machi_apa,SHIP,,,,
uaf_sekai_s,SHIP,"A fast and nimble tanker ship usually used in small fleet within UAF Military, providing sufficient amount of tanker supplies.",,,
uaf_wo_m,SHIP,"An armored and agile fuel tanker with balanced weapon emplacements, used in medium to large fleet of UAF Military, providing bigger amount of tanker supplies.",,,
uaf_tsutsumu_l,SHIP,"An armored, upgunned with an addition of small flight deck hangar at the cost of its maneuverability and being a bigger target than the other UAF Tanker Ships. This ship has the largest tanker capacity.",,,
,,,,,
#FIGHTERS,,,,,
uaf_wing_aria,SHIP,,,,
uaf_wing_superaria,SHIP,,,,
uaf_wing_fisoyuz,SHIP,,,,
uaf_wing_mitsurei,SHIP,,,,
,,,,,
uaf_wing_forlorn,SHIP,,,,
uaf_wing_nekoyan,SHIP,,,,
uaf_wing_lynx,SHIP,"An Experimental ace fighter issued by the department of research and technology, fitted with unique melody engine reactor and counter-weight for experimental single-barrel cyrexa mount.",,,
,,,,,
uaf_wing_minersky,SHIP,,,,
uaf_wing_noversky,SHIP,,,,
,,,,,
uaf_wing_exoscar,SHIP,"Torpedo bomber issued by UAF Military with the carrying capacity of two high-velocity exoscar torpedo, capable of punching through even capital ships.",,,
uaf_wing_menascar,SHIP,"Fast Torpedo Bomber issued by UAF Military, equipped by three high-velocity and maneuverable missile. The fighter features a very high speed for strategical bombing.",,,
,,,,,
uaf_wing_sakurai,SHIP,,,,
uaf_wing_hibiscus,SHIP,,,,
uaf_wing_hyacinth,SHIP,,,,
,,,,,
#CAMPAIGN,,,,,
uaf,FACTION,"United Aurora Federation, symbolizes the unity of Auroran people from their homeworld 'Aurora', rumored to be from alternate 'mirror universe' which isn't from this timeline.  United Aurora Federation or UAF for short is a constitutional monarch led by Queen Aeria Charlotte, an elegant yet charismatic monarch whose mandate is to explore the stars and beyond.",,,
uaf_auroria_planet,CUSTOM,"The new home of United Aurora Federation after their first wave of arrival into the Sector, it has a habitable climate and thrives in farming, rich in minerals and ores, as well as balanced floras and faunas. The people of Auroran colonizes the planet and named it New Auroria, symbolizing the new homeworld in the sector which marked the planet as the first foothold in the Sector. New Auroria is also one of the many, but also the only habitable planet that orbits the twin star Aoi-Ayama.",,,
uaf_choco_lava,RESOURCE,This choco lava sauce is one of the special commodities found in the planet of Auroria as people inhabiting the planet loves sweet foods. The sauce is made from a processed kokoa and packaged in bottles ready to use.,,,
uaf_diced_pineapple,RESOURCE,"This diced and dried goods are made from processed pineapple fruit, usually found in tropical planets, coated with a little bit of sugars before being packaged into bags of pineapple goods. This food is good for snacking while giving a comparable nutritional value for space-faring civilization, the diced pineapple being dried also helped with preserving the food itself.",,,
uaf_abandoned_decom_space_habitat,CUSTOM,"A decommissioned station from the early days of UAF space-faring age. The station starts to deteoriate and has been abandoned since in favour of the new EVA station orbitting around the New Avroria. Even though its considered as a space hunk, small portion of its function is still alive and functional.",,,
uaf_eva,CUSTOM,Eva Station,,,
